document_id	class	status	authority	default_onboarding	path	purpose
adr-0002	decisions	superseded	history	no	docs/decisions/0002-glibc-core-from-termux-glibc-repo.md	historical broad sourcing rule
adr-0003	decisions	accepted	canonical	no	docs/decisions/0003-mesa-kmds-msm-kgsl.md	validated Mesa KMD policy
adr-0004	decisions	accepted	canonical	no	docs/decisions/0004-single-main-and-immutable-release-deployment.md	main and immutable deployment
adr-0005	decisions	accepted	canonical	no	docs/decisions/0005-proportional-assurance-depth.md	risk-proportional assurance at project-owned changed boundaries
evidence-index	evidence	current	canonical	no	docs/evidence/README.md	evidence and receipt routing
experiments-index	evidence	mixed	source-index	no	experiments/README.md	experiment interpretation contract
refactor-index	history	historical	history	no	docs/refactor/README.md	transaction-level historical evidence
history-index	history	current	canonical	no	docs/history/README.md	historical reconstruction router
handoff-index	history	historical	history	no	docs/handoff/README.md	legacy session-transition archive
timeline	history	historical	history	no	docs/timeline.md	chronological navigation
knowledge-index	knowledge	reference	reference	no	docs/knowledge/README.md	reusable systems knowledge router
provider-claim-classification	evidence	current	canonical	no	docs/evidence/provider-claim-classification.md	ADR 0005 claim inventory and SUP-02 disposition
no-token-recipe-semantic-review	evidence	current	canonical	no	docs/evidence/no-token-recipe-semantic-review.md	seven-root pinned recipe and upstream semantic review
xorg-reference-consumed-provider-authority	evidence	current	canonical	no	docs/evidence/xorg-reference-consumed-provider-authority.md	four exact X.Org provider decisions bounded to selected GTK X11 capabilities
libtasn1-reference-consumed-provider-authority	evidence	current	canonical	no	docs/evidence/libtasn1-reference-consumed-provider-authority.md	exact libtasn1 provider decision bounded to external GnuTLS ASN.1 security capability
libepoxy-reference-consumed-provider-authority	evidence	current	canonical	no	docs/evidence/libepoxy-reference-consumed-provider-authority.md	exact libepoxy provider decision bounded to GTK 3.24.49 X11 GLX dispatch
pango-reference-consumed-provider-authority-and-filename-continuity	evidence	current	canonical	no	docs/evidence/pango-reference-consumed-provider-authority-and-filename-continuity.md	exact Pango three-member provider family and CF-001 through CF-004 continuity policy
libjpeg-so-62-provider-candidate-disposition	evidence	current	canonical	no	docs/evidence/libjpeg-so-62-provider-candidate-disposition.md	OJ-001 exact requirement and explicit pinned-source compatibility-provider production disposition
libjpeg-so-62-compatibility-provider-candidate-result-review	evidence	current	canonical	no	docs/evidence/libjpeg-so-62-compatibility-provider-candidate-result-review.md	first scratch-built SONAME-62 candidate identity review and runpath rejection
libjpeg-so-62-runpath-free-compatibility-provider-candidate-result-review	evidence	current	canonical	no	docs/evidence/libjpeg-so-62-runpath-free-compatibility-provider-candidate-result-review.md	runpath-free SONAME-62 candidate identity review and consumer-validation boundary
libjpeg-so-62-gdkpixbuf-consumer-binding-result-review	evidence	current	canonical	no	docs/evidence/libjpeg-so-62-gdkpixbuf-consumer-binding-result-review.md	first exact GdkPixbuf binding attempt, static success and bounded functional SIGSEGV review
libjpeg-so-62-gdkpixbuf-diagnostic-matrix-result-review	evidence	current	canonical	no	docs/evidence/libjpeg-so-62-gdkpixbuf-diagnostic-matrix-result-review.md	first matrix invalidation and direct-loader ELF-only rerun boundary
libjpeg-so-62-loader-isolated-provider-authority	evidence	current	canonical	no	docs/evidence/libjpeg-so-62-loader-isolated-provider-authority.md	loader-isolated six-cell functional equivalence and bounded GdkPixbuf JPEG provider decision
selected-obsidian-provider-composition-review	evidence	current	canonical	no	docs/evidence/selected-obsidian-provider-composition-review.md	exact 42-row zero-gap provider composition review and 41/1 inclusion-deferment boundary
selected-obsidian-provider-composition-boundary-acceptance	evidence	current	canonical	no	docs/evidence/selected-obsidian-provider-composition-boundary-acceptance.md	Class D acceptance of the exact 42-row boundary with target manifest and population still blocked
selected-obsidian-target-manifest-review	evidence	current	canonical	no	docs/evidence/selected-obsidian-target-manifest-review.md	deterministic 82-row non-mutating target candidate review with 41 concrete members and 41 SONAME aliases
gdkpixbuf-core-provider-acquisition-result-review	evidence	current	canonical	no	docs/evidence/gdkpixbuf-core-provider-acquisition-result-review.md	exact five-member acquisition review, GdkPixbuf source-build blocker and protected-state false-positive disposition
gdkpixbuf-2-42-12-provider-candidate-result-review	evidence	current	canonical	no	docs/evidence/gdkpixbuf-2-42-12-provider-candidate-result-review.md	exact project GdkPixbuf provider decision and dependency-provider boundary
gdkpixbuf-reference-dependency-provider-authority	evidence	current	canonical	no	docs/evidence/gdkpixbuf-reference-dependency-provider-authority.md	exact GLib four-member and libpng bounded provider decisions with util-linux separation
gdkpixbuf-exact-util-linux-provider-authority	evidence	current	canonical	no	docs/evidence/gdkpixbuf-exact-util-linux-provider-authority.md	exact signed-index util-linux pair and bounded GdkPixbuf transitive provider authority
libxcursor-bounded-provider-authority	evidence	current	canonical	no	docs/evidence/libxcursor-bounded-provider-authority.md	exact Class B libXcursor provider authority for GTK 3.24.49 X11 cursor handling
libthai-libdatrie-iconv-bounded-provider-authority	evidence	current	canonical	no	docs/evidence/libthai-libdatrie-iconv-bounded-provider-authority.md	exact signed-index Thai break provider chain, dictionary content and bounded transitive iconv authority
libcloudproviders-bounded-provider-authority	evidence	current	canonical	no	docs/evidence/libcloudproviders-bounded-provider-authority.md	exact Class B libcloudproviders provider authority for selected GTK PlacesSidebar cloud-account integration
fribidi-bounded-provider-authority	evidence	current	canonical	no	docs/evidence/fribidi-bounded-provider-authority.md	exact Class B FriBidi provider authority for Pango 1.54.0 Unicode bidirectional text processing
freetype-bounded-provider-authority	evidence	current	canonical	no	docs/evidence/freetype-bounded-provider-authority.md	exact Class B FreeType provider and bounded compression-feature closure for selected Pango and GTK font processing
libxkbcommon-bounded-provider-authority	evidence	current	canonical	no	docs/evidence/libxkbcommon-bounded-provider-authority.md	exact Class B libxkbcommon provider authority and SONAME continuity for selected GTK Wayland XKB keymap and keyboard translation
harfbuzz-bounded-provider-authority	evidence	current	canonical	no	docs/evidence/harfbuzz-bounded-provider-authority.md	exact Class B HarfBuzz provider authority and SONAME continuity for Pango 1.54.0 core OpenType shaping
fontconfig-bounded-provider-authority	evidence	current	canonical	no	docs/evidence/fontconfig-bounded-provider-authority.md	exact Class B Fontconfig provider authority, stable SONAME continuity, and receipt-owned configuration/cache boundary for Pango 1.54.0 font matching
pixman-cairo-prerequisite-provider-authority	evidence	current	canonical	no	docs/evidence/pixman-cairo-prerequisite-provider-authority.md	exact Class B Pixman 0.46.4 generic implementation and stable SONAME authority for the direct Cairo pixel-compositing prerequisite
cairo-bounded-provider-authority	evidence	current	canonical	no	docs/evidence/cairo-bounded-provider-authority.md	exact atomic Class B Cairo core and Cairo-GObject authority for selected Pango and GTK rendering scope
libxdamage-provider-evidence-blocker	evidence	superseded	history	no	docs/evidence/libxdamage-provider-evidence-blocker.md	exact approved-index and recipe-repository blocker for missing Termux glibc libXdamage provider candidate
graphite2-harfbuzz-prerequisite-provider-authority	evidence	current	canonical	no	docs/evidence/graphite2-harfbuzz-prerequisite-provider-authority.md	exact Class B Graphite2 provider authority for the Graphite shaping prerequisite compiled into HarfBuzz 10.1.0
at-spi2-core-provider-evidence-blocker	evidence	superseded	history	no	docs/evidence/at-spi2-core-provider-evidence-blocker.md	exact approved-index and pinned-recipe blocker for the missing Termux glibc AT-SPI2 core ATK bridge and AT-SPI provider family
at-spi2-core-production-recipe-candidate-result-review	evidence	current	canonical	no	docs/evidence/at-spi2-core-production-recipe-candidate-result-review.md	exact atomic Class B recipe and Class C local package/member family qualification retained as the producing record
at-spi2-core-bounded-provider-authority	evidence	current	canonical	no	docs/evidence/at-spi2-core-bounded-provider-authority.md	exact atomic three-member ATK ATK-bridge and AT-SPI provider authority for selected GTK 3.24.49 accessibility library linkage with service authority excluded
gtk3-core-provider-evidence-blocker	evidence	superseded	history	no	docs/evidence/gtk3-core-provider-evidence-blocker.md	exact approved-index and pinned-recipe blocker for the missing Termux glibc GTK 3 GDK and GTK core pair
gtk3-3-24-49-source-coordinate-correction	evidence	current	canonical	no	docs/evidence/gtk3-3-24-49-source-coordinate-correction.md	official GTK 3.24.49 tag object commit and archive correction with consumer-binding revalidation and no provider authority widening
libselinux-provider-evidence-blocker	evidence	superseded	history	no	docs/evidence/libselinux-provider-evidence-blocker.md	historical no-candidate and Android/bionic boundary blocker superseded by exact libmount consumer reselection
missing-glibc-provider-production-boundary	evidence	current	canonical	no	docs/evidence/missing-glibc-provider-production-boundary.md	planning-only Class B recipe and Class C local-candidate production boundaries for all four missing Termux glibc provider families
libxdamage-production-recipe-candidate-result-review	evidence	current	canonical	no	docs/evidence/libxdamage-production-recipe-candidate-result-review.md	exact separated Class B recipe and Class C local artifact qualification retained as the producing record
libxdamage-bounded-provider-authority	evidence	current	canonical	no	docs/evidence/libxdamage-bounded-provider-authority.md	exact project-produced libXdamage bounded provider authority for GTK 3.24.49 GDK X11 damage-extension capability
gtk3-core-production-recipe-candidate-result-review	evidence	current	canonical	no	docs/evidence/gtk3-core-production-recipe-candidate-result-review.md	exact GTK 3.24.49 Class B production recipe and Class C atomic GDK/GTK package result review
gtk3-core-bounded-provider-authority	evidence	current	canonical	no	docs/evidence/gtk3-core-bounded-provider-authority.md	exact atomic GTK 3.24.49 GDK/GTK bounded provider authority with package-wide execution surfaces excluded
libselinux-direct-consumer-necessity-review	evidence	current	canonical	no	docs/evidence/libselinux-direct-consumer-necessity-review.md	exact Debian-oracle libmount SELinux edge and selected Termux-glibc libmount dependency-elimination decision
selected-obsidian-target-manifest-boundary-acceptance	evidence	current	canonical	no	docs/evidence/selected-obsidian-target-manifest-boundary-acceptance.md	Class D acceptance of the exact 82-row target policy with population and materializer authority blocked
selected-target-population-intervention-supply-binding-review	evidence	current	canonical	no	docs/evidence/selected-target-population-intervention-supply-binding-review.md	read-only 41-object supply binding census and target-population intervention-retention decision
selected-target-retained-result-coordinate-generation-contract-review	evidence	current	canonical	no	docs/evidence/selected-target-retained-result-coordinate-generation-contract-review.md	metadata-only retained-result coordinate progress and non-live generation contract review
selected-target-indexed-replacement-member-size-review	evidence	current	canonical	no	docs/evidence/selected-target-indexed-replacement-member-size-review.md	indexed replacement and exact member-size census with Pixman blocker retained
selected-target-pixman-size-resource-budget-intervention-review	evidence	current	canonical	no	docs/evidence/selected-target-pixman-size-resource-budget-intervention-review.md	exact Pixman size, deterministic receipt reservation, final resource budget and design-only intervention decision
selected-target-materializer-runtime-preflight-design-review	evidence	current	canonical	no	docs/evidence/selected-target-materializer-runtime-preflight-design-review.md	non-executing selected-provider materializer and runtime-preflight design candidate with execution and population authority excluded
selected-target-materializer-runtime-preflight-design-boundary-acceptance	evidence	current	canonical	no	docs/evidence/selected-target-materializer-runtime-preflight-design-boundary-acceptance.md	Class D acceptance of the exact non-executing materializer/runtime-preflight design with local supply, execution and population blocked
selected-provider-local-supply-map-contract-review	evidence	current	canonical	no	docs/evidence/selected-provider-local-supply-map-contract-review.md	non-mutating 41-row local-supply-map contract candidate with zero populated paths and separate acceptance/localization/execution gates
selected-provider-local-supply-map-contract-boundary-acceptance	evidence	current	canonical	no	docs/evidence/selected-provider-local-supply-map-contract-boundary-acceptance.md	Class D acceptance of the exact 41-row/24-rule non-mutating local-supply-map contract with zero paths and read/execution blocked
selected-provider-local-supply-map-evidence-transaction-design-review	evidence	current	canonical	no	docs/evidence/selected-provider-local-supply-map-evidence-transaction-design-review.md	non-executing read-only local-supply-map evidence transaction design with explicit coordinates, no discovery, bounded reads and separate acceptance/execution gates
selected-provider-local-supply-map-evidence-transaction-design-boundary-acceptance	evidence	current	canonical	no	docs/evidence/selected-provider-local-supply-map-evidence-transaction-design-boundary-acceptance.md	Class D acceptance of the exact 12/16/32/18 read-only evidence transaction design with zero coordinates, zero reads and execution blocked
selected-provider-local-supply-evidence-authorization-coordinate-receipt-contract-review	evidence	current	canonical	no	docs/evidence/selected-provider-local-supply-evidence-authorization-coordinate-receipt-contract-review.md	non-mutating owner-authorization token and canonical 41-row coordinate-receipt contract candidate with zero live token/path/read authority
selected-provider-local-supply-evidence-authorization-coordinate-contract-boundary-acceptance	evidence	current	canonical	no	docs/evidence/selected-provider-local-supply-evidence-authorization-coordinate-contract-boundary-acceptance.md	Class D acceptance of the exact 18-claim/41-row/10-field/30-rule authorization and coordinate-receipt contract with zero live authority
selected-provider-local-supply-evidence-authorization-issuance-coordinate-production-design-review	evidence	current	canonical	no	docs/evidence/selected-provider-local-supply-evidence-authorization-issuance-coordinate-production-design-review.md	non-executing 14/18/36/20 owner-authorization issuance and coordinate-receipt production transaction design with zero live authority
selected-provider-local-supply-evidence-authorization-issuance-coordinate-production-design-boundary-acceptance	evidence	current	canonical	no	docs/evidence/selected-provider-local-supply-evidence-authorization-issuance-coordinate-production-design-boundary-acceptance.md	Class D acceptance of the exact 14/18/36/20 non-executing issuance and coordinate-production transaction design with zero live authority
selected-provider-local-supply-evidence-authorization-issuance-coordinate-production-implementation-review	evidence	current	canonical	no	docs/evidence/selected-provider-local-supply-evidence-authorization-issuance-coordinate-production-implementation-review.md	synthetic-only implementation candidate with exact 14/18/36/20 design coverage, one success, twenty failures and zero live authority
selected-provider-local-supply-evidence-authorization-issuance-coordinate-production-implementation-boundary-acceptance	evidence	current	canonical	no	docs/evidence/selected-provider-local-supply-evidence-authorization-issuance-coordinate-production-implementation-boundary-acceptance.md	Class D acceptance of the exact six-artifact synthetic-only implementation with 88 coverage rows, one success, twenty failures and zero live authority
selected-provider-local-supply-evidence-live-input-adapter-execution-authorization-contract-review	evidence	current	canonical	no	docs/evidence/selected-provider-local-supply-evidence-live-input-adapter-execution-authorization-contract-review.md	non-executing ten-input/twenty-field adapter and twenty-seven-claim execution-authorization contract with synthetic implementation fixed as oracle only and zero live authority
selected-provider-local-supply-evidence-live-input-adapter-execution-authorization-contract-boundary-acceptance	evidence	current	canonical	no	docs/evidence/selected-provider-local-supply-evidence-live-input-adapter-execution-authorization-contract-boundary-acceptance.md	Class D acceptance of the exact eight-artifact ten-input/twenty-field/twenty-seven-claim non-executing contract with zero live authority
selected-provider-local-supply-evidence-live-input-adapter-execution-authorization-implementation-review	evidence	current	canonical	no	docs/evidence/selected-provider-local-supply-evidence-live-input-adapter-execution-authorization-implementation-review.md	repository-owned synthetic-only implementation candidate with 164 exact contract coverage rows, one success, twenty failures and zero live authority
selected-provider-local-supply-evidence-live-input-adapter-execution-authorization-implementation-boundary-acceptance	evidence	current	canonical	no	docs/evidence/selected-provider-local-supply-evidence-live-input-adapter-execution-authorization-implementation-boundary-acceptance.md	Class D acceptance of the exact six-artifact 164-row synthetic-only adapter and execution-authorization implementation with zero provider reads, writes, replay persistence and live authority
selected-provider-local-supply-map-evidence-transaction-implementation-review	evidence	current	canonical	no	docs/evidence/selected-provider-local-supply-map-evidence-transaction-implementation-review.md	repository-owned synthetic-only implementation candidate with exact 12/16/32/18 design coverage, 78 rows, one success, eighteen failures and zero provider opens or reads
selected-provider-local-supply-map-evidence-transaction-implementation-boundary-acceptance	evidence	current	canonical	no	docs/evidence/selected-provider-local-supply-map-evidence-transaction-implementation-boundary-acceptance.md	Class D acceptance of the exact six-artifact 78-row synthetic-only read-only evidence transaction implementation with zero provider opens, reads, writes, replay persistence and live authority
selected-provider-local-supply-live-evidence-orchestration-production-implementation-review	evidence	current	canonical	no	docs/evidence/selected-provider-local-supply-live-evidence-orchestration-production-implementation-review.md	production-capable isolated-fixture orchestration implementation candidate with 18/24/48/28 coverage, real nofollow/hash/ELF/SONAME temporary-file verification and zero selected-provider reads or live authority
