request_id	root_review_id	recipe_root	review_tier	primary_claim_class	disposition	required_now	replacement_or_narrowed_scope	retained_escalation_trigger	rationale	authority_effect	next_action
SUP02-CER-2f6c3972ae083cff8dd2	generic-root-review:2f6c3972ae083cff8dd2	gpkg/libepoxy	T6_NO_TOKEN_EXACT	A	UNNECESSARY	NO	NO_SUP-02_ACTION;RESOLVE_NO_TOKEN_EQUIVALENCE_OR_OBJECT_REQUIREMENT_BEFORE_ANY_BUILD_PROVENANCE_ESCALATION	CLASS_C_RECLASSIFICATION;ARTIFACT_RECIPE_MISMATCH;OPAQUE_HIGH_RISK_GENERATED_OUTPUT;CLAIM_SPECIFIC_SUPPLIER_PROVENANCE_NEEDED_FOR_PROMOTION	NO_ACTIVE_CLASS_C_CLAIM_OR_THE_REQUIRED_OBJECT_IDENTITY_IS_NOT_YET_SATISFIED	REQUEST_RECLASSIFICATION_ONLY_NO_EVIDENCE_OR_AUTHORITY_EFFECT	KEEP_REQUEST_HISTORICAL_AND_DO_NOT_FULFILL_UNLESS_A_NEW_RECORDED_ESCALATION_TRIGGER_APPEARS
SUP02-CER-9147ecc3cb3d2ae95b32	generic-root-review:9147ecc3cb3d2ae95b32	gpkg/libgnutls	T4_CONFIGURATION_OR_PACKAGING_EXACT	B	REPLACED	NO	AUTHORITATIVE_ARTIFACT_AND_MEMBER_IDENTITY_PLUS_RECIPE_UPSTREAM_SEMANTIC_REVIEW_AND_INTEGRATION_EVIDENCE	CLASS_C_RECLASSIFICATION;ARTIFACT_RECIPE_MISMATCH;OPAQUE_HIGH_RISK_GENERATED_OUTPUT;CLAIM_SPECIFIC_SUPPLIER_PROVENANCE_NEEDED_FOR_PROMOTION	CONFIGURATION_PACKAGING_OR_NO_TOKEN_DRIFT_CLAIM_IS_REFERENCE_CONSUMED_OR_REFERENCE_ADAPTED_NOT_INDEPENDENTLY_REPRODUCED	REQUEST_RECLASSIFICATION_ONLY_NO_EVIDENCE_OR_AUTHORITY_EFFECT	COMPLETE_AGENT_SEMANTIC_REVIEW_AND_DRIFT_POLICY_WITHOUT_EXTERNAL_CUSTODIAN_EXPORT
SUP02-CER-59aa2f063b98cf767441	generic-root-review:59aa2f063b98cf767441	gpkg/libjpeg-turbo	T0_OBJECT_REQUIREMENT_CORRECTION	B	UNNECESSARY	NO	NO_SUP-02_ACTION;RESOLVE_NO_TOKEN_EQUIVALENCE_OR_OBJECT_REQUIREMENT_BEFORE_ANY_BUILD_PROVENANCE_ESCALATION	CLASS_C_RECLASSIFICATION;ARTIFACT_RECIPE_MISMATCH;OPAQUE_HIGH_RISK_GENERATED_OUTPUT;CLAIM_SPECIFIC_SUPPLIER_PROVENANCE_NEEDED_FOR_PROMOTION	NO_ACTIVE_CLASS_C_CLAIM_OR_THE_REQUIRED_OBJECT_IDENTITY_IS_NOT_YET_SATISFIED	REQUEST_RECLASSIFICATION_ONLY_NO_EVIDENCE_OR_AUTHORITY_EFFECT	KEEP_REQUEST_HISTORICAL_AND_DO_NOT_FULFILL_UNLESS_A_NEW_RECORDED_ESCALATION_TRIGGER_APPEARS
SUP02-CER-f358ae77e439240484e8	generic-root-review:f358ae77e439240484e8	gpkg/libnettle	T4_CONFIGURATION_OR_PACKAGING_EXACT	B	REPLACED	NO	AUTHORITATIVE_ARTIFACT_AND_MEMBER_IDENTITY_PLUS_RECIPE_UPSTREAM_SEMANTIC_REVIEW_AND_INTEGRATION_EVIDENCE	CLASS_C_RECLASSIFICATION;ARTIFACT_RECIPE_MISMATCH;OPAQUE_HIGH_RISK_GENERATED_OUTPUT;CLAIM_SPECIFIC_SUPPLIER_PROVENANCE_NEEDED_FOR_PROMOTION	CONFIGURATION_PACKAGING_OR_NO_TOKEN_DRIFT_CLAIM_IS_REFERENCE_CONSUMED_OR_REFERENCE_ADAPTED_NOT_INDEPENDENTLY_REPRODUCED	REQUEST_RECLASSIFICATION_ONLY_NO_EVIDENCE_OR_AUTHORITY_EFFECT	COMPLETE_AGENT_SEMANTIC_REVIEW_AND_DRIFT_POLICY_WITHOUT_EXTERNAL_CUSTODIAN_EXPORT
SUP02-CER-146b55949f1c16bde2a2	generic-root-review:146b55949f1c16bde2a2	gpkg/libpng	T1_MATERIAL_DELTA_AND_DRIFT	B	NARROWED	NO	SEMANTIC_RECIPE_REVIEW_FIRST;RETAIN_ONLY_CLAIM_SPECIFIC_BUILD_OUTPUT_OR_INVOCATION_FIELDS_IF_AN_ESCALATION_TRIGGER_FIRES	CLASS_C_RECLASSIFICATION;ARTIFACT_RECIPE_MISMATCH;OPAQUE_HIGH_RISK_GENERATED_OUTPUT;CLAIM_SPECIFIC_SUPPLIER_PROVENANCE_NEEDED_FOR_PROMOTION	MATERIAL_DELTA_REQUIRES_CLASS_B_REVIEW_BUT_DOES_NOT_BY_ITSELF_CREATE_A_CLASS_C_REPRODUCTION_CLAIM	REQUEST_RECLASSIFICATION_ONLY_NO_EVIDENCE_OR_AUTHORITY_EFFECT	COMPLETE_CLASS_B_SEMANTIC_AND_OBJECT_IMPACT_REVIEW_BEFORE_DECIDING_ANY_NARROWED_CUSTODIAN_EXPORT
SUP02-CER-68be7e5a4186aff4fd0d	generic-root-review:68be7e5a4186aff4fd0d	gpkg/libsqlite	T1_MATERIAL_DELTA_AND_DRIFT	B	NARROWED	NO	SEMANTIC_RECIPE_REVIEW_FIRST;RETAIN_ONLY_CLAIM_SPECIFIC_BUILD_OUTPUT_OR_INVOCATION_FIELDS_IF_AN_ESCALATION_TRIGGER_FIRES	CLASS_C_RECLASSIFICATION;ARTIFACT_RECIPE_MISMATCH;OPAQUE_HIGH_RISK_GENERATED_OUTPUT;CLAIM_SPECIFIC_SUPPLIER_PROVENANCE_NEEDED_FOR_PROMOTION	MATERIAL_DELTA_REQUIRES_CLASS_B_REVIEW_BUT_DOES_NOT_BY_ITSELF_CREATE_A_CLASS_C_REPRODUCTION_CLAIM	REQUEST_RECLASSIFICATION_ONLY_NO_EVIDENCE_OR_AUTHORITY_EFFECT	COMPLETE_CLASS_B_SEMANTIC_AND_OBJECT_IMPACT_REVIEW_BEFORE_DECIDING_ANY_NARROWED_CUSTODIAN_EXPORT
SUP02-CER-ad4e1b984c7087426ee9	generic-root-review:ad4e1b984c7087426ee9	gpkg/libtasn1	T6_NO_TOKEN_EXACT	A	UNNECESSARY	NO	NO_SUP-02_ACTION;RESOLVE_NO_TOKEN_EQUIVALENCE_OR_OBJECT_REQUIREMENT_BEFORE_ANY_BUILD_PROVENANCE_ESCALATION	CLASS_C_RECLASSIFICATION;ARTIFACT_RECIPE_MISMATCH;OPAQUE_HIGH_RISK_GENERATED_OUTPUT;CLAIM_SPECIFIC_SUPPLIER_PROVENANCE_NEEDED_FOR_PROMOTION	NO_ACTIVE_CLASS_C_CLAIM_OR_THE_REQUIRED_OBJECT_IDENTITY_IS_NOT_YET_SATISFIED	REQUEST_RECLASSIFICATION_ONLY_NO_EVIDENCE_OR_AUTHORITY_EFFECT	KEEP_REQUEST_HISTORICAL_AND_DO_NOT_FULFILL_UNLESS_A_NEW_RECORDED_ESCALATION_TRIGGER_APPEARS
SUP02-CER-88cec59d1ec77cd9f7bd	generic-root-review:88cec59d1ec77cd9f7bd	gpkg/libthai	T4_CONFIGURATION_OR_PACKAGING_EXACT	B	REPLACED	NO	AUTHORITATIVE_ARTIFACT_AND_MEMBER_IDENTITY_PLUS_RECIPE_UPSTREAM_SEMANTIC_REVIEW_AND_INTEGRATION_EVIDENCE	CLASS_C_RECLASSIFICATION;ARTIFACT_RECIPE_MISMATCH;OPAQUE_HIGH_RISK_GENERATED_OUTPUT;CLAIM_SPECIFIC_SUPPLIER_PROVENANCE_NEEDED_FOR_PROMOTION	CONFIGURATION_PACKAGING_OR_NO_TOKEN_DRIFT_CLAIM_IS_REFERENCE_CONSUMED_OR_REFERENCE_ADAPTED_NOT_INDEPENDENTLY_REPRODUCED	REQUEST_RECLASSIFICATION_ONLY_NO_EVIDENCE_OR_AUTHORITY_EFFECT	COMPLETE_AGENT_SEMANTIC_REVIEW_AND_DRIFT_POLICY_WITHOUT_EXTERNAL_CUSTODIAN_EXPORT
SUP02-CER-871a690716276e3765a2	generic-root-review:871a690716276e3765a2	gpkg/libxcomposite	T6_NO_TOKEN_EXACT	A	UNNECESSARY	NO	NO_SUP-02_ACTION;RESOLVE_NO_TOKEN_EQUIVALENCE_OR_OBJECT_REQUIREMENT_BEFORE_ANY_BUILD_PROVENANCE_ESCALATION	CLASS_C_RECLASSIFICATION;ARTIFACT_RECIPE_MISMATCH;OPAQUE_HIGH_RISK_GENERATED_OUTPUT;CLAIM_SPECIFIC_SUPPLIER_PROVENANCE_NEEDED_FOR_PROMOTION	NO_ACTIVE_CLASS_C_CLAIM_OR_THE_REQUIRED_OBJECT_IDENTITY_IS_NOT_YET_SATISFIED	REQUEST_RECLASSIFICATION_ONLY_NO_EVIDENCE_OR_AUTHORITY_EFFECT	KEEP_REQUEST_HISTORICAL_AND_DO_NOT_FULFILL_UNLESS_A_NEW_RECORDED_ESCALATION_TRIGGER_APPEARS
SUP02-CER-54ab99c9280e70c43600	generic-root-review:54ab99c9280e70c43600	gpkg/libxcursor	T2_MATERIAL_DELTA_EXACT	B	NARROWED	NO	SEMANTIC_RECIPE_REVIEW_FIRST;RETAIN_ONLY_CLAIM_SPECIFIC_BUILD_OUTPUT_OR_INVOCATION_FIELDS_IF_AN_ESCALATION_TRIGGER_FIRES	CLASS_C_RECLASSIFICATION;ARTIFACT_RECIPE_MISMATCH;OPAQUE_HIGH_RISK_GENERATED_OUTPUT;CLAIM_SPECIFIC_SUPPLIER_PROVENANCE_NEEDED_FOR_PROMOTION	MATERIAL_DELTA_REQUIRES_CLASS_B_REVIEW_BUT_DOES_NOT_BY_ITSELF_CREATE_A_CLASS_C_REPRODUCTION_CLAIM	REQUEST_RECLASSIFICATION_ONLY_NO_EVIDENCE_OR_AUTHORITY_EFFECT	COMPLETE_CLASS_B_SEMANTIC_AND_OBJECT_IMPACT_REVIEW_BEFORE_DECIDING_ANY_NARROWED_CUSTODIAN_EXPORT
SUP02-CER-b2edb795edece4a59650	generic-root-review:b2edb795edece4a59650	gpkg/libxfixes	T6_NO_TOKEN_EXACT	A	UNNECESSARY	NO	NO_SUP-02_ACTION;RESOLVE_NO_TOKEN_EQUIVALENCE_OR_OBJECT_REQUIREMENT_BEFORE_ANY_BUILD_PROVENANCE_ESCALATION	CLASS_C_RECLASSIFICATION;ARTIFACT_RECIPE_MISMATCH;OPAQUE_HIGH_RISK_GENERATED_OUTPUT;CLAIM_SPECIFIC_SUPPLIER_PROVENANCE_NEEDED_FOR_PROMOTION	NO_ACTIVE_CLASS_C_CLAIM_OR_THE_REQUIRED_OBJECT_IDENTITY_IS_NOT_YET_SATISFIED	REQUEST_RECLASSIFICATION_ONLY_NO_EVIDENCE_OR_AUTHORITY_EFFECT	KEEP_REQUEST_HISTORICAL_AND_DO_NOT_FULFILL_UNLESS_A_NEW_RECORDED_ESCALATION_TRIGGER_APPEARS
SUP02-CER-5cde09ffb57ae90a949d	generic-root-review:5cde09ffb57ae90a949d	gpkg/libxi	T6_NO_TOKEN_EXACT	A	UNNECESSARY	NO	NO_SUP-02_ACTION;RESOLVE_NO_TOKEN_EQUIVALENCE_OR_OBJECT_REQUIREMENT_BEFORE_ANY_BUILD_PROVENANCE_ESCALATION	CLASS_C_RECLASSIFICATION;ARTIFACT_RECIPE_MISMATCH;OPAQUE_HIGH_RISK_GENERATED_OUTPUT;CLAIM_SPECIFIC_SUPPLIER_PROVENANCE_NEEDED_FOR_PROMOTION	NO_ACTIVE_CLASS_C_CLAIM_OR_THE_REQUIRED_OBJECT_IDENTITY_IS_NOT_YET_SATISFIED	REQUEST_RECLASSIFICATION_ONLY_NO_EVIDENCE_OR_AUTHORITY_EFFECT	KEEP_REQUEST_HISTORICAL_AND_DO_NOT_FULFILL_UNLESS_A_NEW_RECORDED_ESCALATION_TRIGGER_APPEARS
SUP02-CER-8fba4c31866e5ce912d6	generic-root-review:8fba4c31866e5ce912d6	gpkg/libxinerama	T6_NO_TOKEN_EXACT	A	UNNECESSARY	NO	NO_SUP-02_ACTION;RESOLVE_NO_TOKEN_EQUIVALENCE_OR_OBJECT_REQUIREMENT_BEFORE_ANY_BUILD_PROVENANCE_ESCALATION	CLASS_C_RECLASSIFICATION;ARTIFACT_RECIPE_MISMATCH;OPAQUE_HIGH_RISK_GENERATED_OUTPUT;CLAIM_SPECIFIC_SUPPLIER_PROVENANCE_NEEDED_FOR_PROMOTION	NO_ACTIVE_CLASS_C_CLAIM_OR_THE_REQUIRED_OBJECT_IDENTITY_IS_NOT_YET_SATISFIED	REQUEST_RECLASSIFICATION_ONLY_NO_EVIDENCE_OR_AUTHORITY_EFFECT	KEEP_REQUEST_HISTORICAL_AND_DO_NOT_FULFILL_UNLESS_A_NEW_RECORDED_ESCALATION_TRIGGER_APPEARS
SUP02-CER-778b62f6da21fd02f1bb	generic-root-review:778b62f6da21fd02f1bb	gpkg/libxkbcommon	T1_MATERIAL_DELTA_AND_DRIFT	B	NARROWED	NO	SEMANTIC_RECIPE_REVIEW_FIRST;RETAIN_ONLY_CLAIM_SPECIFIC_BUILD_OUTPUT_OR_INVOCATION_FIELDS_IF_AN_ESCALATION_TRIGGER_FIRES	CLASS_C_RECLASSIFICATION;ARTIFACT_RECIPE_MISMATCH;OPAQUE_HIGH_RISK_GENERATED_OUTPUT;CLAIM_SPECIFIC_SUPPLIER_PROVENANCE_NEEDED_FOR_PROMOTION	MATERIAL_DELTA_REQUIRES_CLASS_B_REVIEW_BUT_DOES_NOT_BY_ITSELF_CREATE_A_CLASS_C_REPRODUCTION_CLAIM	REQUEST_RECLASSIFICATION_ONLY_NO_EVIDENCE_OR_AUTHORITY_EFFECT	COMPLETE_CLASS_B_SEMANTIC_AND_OBJECT_IMPACT_REVIEW_BEFORE_DECIDING_ANY_NARROWED_CUSTODIAN_EXPORT
SUP02-CER-3d9be682f93850cf8f44	generic-root-review:3d9be682f93850cf8f44	gpkg/mesa	T2_MATERIAL_DELTA_EXACT	B	NARROWED	NO	SEMANTIC_RECIPE_REVIEW_FIRST;RETAIN_ONLY_CLAIM_SPECIFIC_BUILD_OUTPUT_OR_INVOCATION_FIELDS_IF_AN_ESCALATION_TRIGGER_FIRES	CLASS_C_RECLASSIFICATION;ARTIFACT_RECIPE_MISMATCH;OPAQUE_HIGH_RISK_GENERATED_OUTPUT;CLAIM_SPECIFIC_SUPPLIER_PROVENANCE_NEEDED_FOR_PROMOTION	MATERIAL_DELTA_REQUIRES_CLASS_B_REVIEW_BUT_DOES_NOT_BY_ITSELF_CREATE_A_CLASS_C_REPRODUCTION_CLAIM	REQUEST_RECLASSIFICATION_ONLY_NO_EVIDENCE_OR_AUTHORITY_EFFECT	COMPLETE_CLASS_B_SEMANTIC_AND_OBJECT_IMPACT_REVIEW_BEFORE_DECIDING_ANY_NARROWED_CUSTODIAN_EXPORT
SUP02-CER-4a78f00ce210555e73bc	generic-root-review:4a78f00ce210555e73bc	gpkg/p11-kit	T4_CONFIGURATION_OR_PACKAGING_EXACT	B	REPLACED	NO	AUTHORITATIVE_ARTIFACT_AND_MEMBER_IDENTITY_PLUS_RECIPE_UPSTREAM_SEMANTIC_REVIEW_AND_INTEGRATION_EVIDENCE	CLASS_C_RECLASSIFICATION;ARTIFACT_RECIPE_MISMATCH;OPAQUE_HIGH_RISK_GENERATED_OUTPUT;CLAIM_SPECIFIC_SUPPLIER_PROVENANCE_NEEDED_FOR_PROMOTION	CONFIGURATION_PACKAGING_OR_NO_TOKEN_DRIFT_CLAIM_IS_REFERENCE_CONSUMED_OR_REFERENCE_ADAPTED_NOT_INDEPENDENTLY_REPRODUCED	REQUEST_RECLASSIFICATION_ONLY_NO_EVIDENCE_OR_AUTHORITY_EFFECT	COMPLETE_AGENT_SEMANTIC_REVIEW_AND_DRIFT_POLICY_WITHOUT_EXTERNAL_CUSTODIAN_EXPORT
SUP02-CER-0dacddae106c6bd1006b	generic-root-review:0dacddae106c6bd1006b	gpkg/pango	T5_NO_TOKEN_AND_DRIFT	A	REPLACED	NO	AUTHORITATIVE_ARTIFACT_AND_MEMBER_IDENTITY_PLUS_RECIPE_UPSTREAM_SEMANTIC_REVIEW_AND_INTEGRATION_EVIDENCE	CLASS_C_RECLASSIFICATION;ARTIFACT_RECIPE_MISMATCH;OPAQUE_HIGH_RISK_GENERATED_OUTPUT;CLAIM_SPECIFIC_SUPPLIER_PROVENANCE_NEEDED_FOR_PROMOTION	CONFIGURATION_PACKAGING_OR_NO_TOKEN_DRIFT_CLAIM_IS_REFERENCE_CONSUMED_OR_REFERENCE_ADAPTED_NOT_INDEPENDENTLY_REPRODUCED	REQUEST_RECLASSIFICATION_ONLY_NO_EVIDENCE_OR_AUTHORITY_EFFECT	COMPLETE_AGENT_SEMANTIC_REVIEW_AND_DRIFT_POLICY_WITHOUT_EXTERNAL_CUSTODIAN_EXPORT
