state_id	phase_order	state_name	state_class	entry_requirements	permitted_effects	required_checks	success_transition	failure_transition	resume_rule	authorization_gate	current_authority_state	prohibited_inference
MAT-S80	80	WHOLE_GENERATION_VERIFIED	FUTURE_READ_ONLY	REGULARS_AND_ALIASES_COMPLETE	READ_ONLY_WHOLE_TREE_ELF_DEPENDENCY_AND_LOADER_CHECKS	82_ROWS_41_OBJECTS_41_ALIASES_ZERO_COLLISIONS_ATOMIC_FAMILIES_COMPLETE_NO_FORBIDDEN_LOADER_PATHS	MAT-S90	MAT-F20	RERUN_COMPLETE_VERIFICATION	FUTURE_SEPARATE_EXECUTION_AUTHORIZATION_REQUIRED	NOT_AUTHORIZED	STATE_DEFINITION_DOES_NOT_AUTHORIZE_EXECUTION_BYTE_ACQUISITION_ROOT_CREATION_TARGET_WRITE_POPULATION_PUBLICATION_DEPLOYMENT_OR_ACTIVATION
MAT-S90	90	RECEIPT_SEALED	FUTURE_MUTATING	WHOLE_GENERATION_VERIFIED	WRITE_CANONICAL_RECEIPT_AND_RESULT_INDEX	CANONICAL_JSON_SIZE_AT_MOST_1048576_AND_ALL_FIELDS_COMPLETE	MAT-S100	MAT-F20	REGENERATE_ONLY_IN_TX_STAGING_BEFORE_PUBLICATION	FUTURE_SEPARATE_EXECUTION_AUTHORIZATION_REQUIRED	NOT_AUTHORIZED	STATE_DEFINITION_DOES_NOT_AUTHORIZE_EXECUTION_BYTE_ACQUISITION_ROOT_CREATION_TARGET_WRITE_POPULATION_PUBLICATION_DEPLOYMENT_OR_ACTIVATION
MAT-S100	100	GENERATION_PUBLISHED	FUTURE_MUTATING	RECEIPT_SEALED_AND_TREE_FSYNCED	RENAME_STAGING_GENERATION_TO_IMMUTABLE_FINAL_GENERATION	SAME_DEVICE_NOREPLACE_PARENT_FSYNC_AND_FINAL_RECEIPT_MATCH	MAT-S110	MAT-F30	VERIFY_EXISTING_FINAL_GENERATION_AND_CONTINUE_IF_EXACT	FUTURE_SEPARATE_EXECUTION_AUTHORIZATION_REQUIRED	NOT_AUTHORIZED	STATE_DEFINITION_DOES_NOT_AUTHORIZE_EXECUTION_BYTE_ACQUISITION_ROOT_CREATION_TARGET_WRITE_POPULATION_PUBLICATION_DEPLOYMENT_OR_ACTIVATION
MAT-S110	110	SELECTORS_PUBLISHED	FUTURE_MUTATING	FINAL_GENERATION_AND_RECEIPT_VERIFY	PUBLISH_PREVIOUS_THEN_CURRENT_RELATIVE_SELECTORS_BY_TEMP_RENAME	SELECTOR_TARGET_COMPLETE_RELATIVE_AND_PARENT_FSYNC	MAT-S120	MAT-F40	RECOVER_FROM_SELECTOR_JOURNAL_WITHOUT_GENERATION_MUTATION	FUTURE_SEPARATE_EXECUTION_AUTHORIZATION_REQUIRED	NOT_AUTHORIZED	STATE_DEFINITION_DOES_NOT_AUTHORIZE_EXECUTION_BYTE_ACQUISITION_ROOT_CREATION_TARGET_WRITE_POPULATION_PUBLICATION_DEPLOYMENT_OR_ACTIVATION
MAT-S120	120	TRANSACTION_COMPLETE	FUTURE_TERMINAL	SELECTORS_PUBLISHED_AND_POST_INVARIANCE_PASS	WRITE_COMPLETION_RECEIPT_ONLY	CURRENT_TARGET_GENERATION_RECEIPT_REMOTE_AND_PROTECTED_STATE	MAT-S120	MAT-F40	IDEMPOTENT_COMPLETE	FUTURE_SEPARATE_EXECUTION_AUTHORIZATION_REQUIRED	NOT_AUTHORIZED	STATE_DEFINITION_DOES_NOT_AUTHORIZE_EXECUTION_BYTE_ACQUISITION_ROOT_CREATION_TARGET_WRITE_POPULATION_PUBLICATION_DEPLOYMENT_OR_ACTIVATION
MAT-F00	900	DESIGN_OR_AUTHORIZATION_REJECTED	FAILURE_TERMINAL	DESIGN_ACCEPTANCE_OR_EXECUTION_TOKEN_FAILURE	NONE	FAILURE_RECEIPT_METADATA_ONLY	MAT-F00	MAT-F00	NEW_REVIEW_REQUIRED	NONE	NO_AUTHORITY	STATE_DEFINITION_DOES_NOT_AUTHORIZE_EXECUTION_BYTE_ACQUISITION_ROOT_CREATION_TARGET_WRITE_POPULATION_PUBLICATION_DEPLOYMENT_OR_ACTIVATION
MAT-F10	910	FAILED_BEFORE_STAGING	FAILURE_TERMINAL	LOCK_PREFLIGHT_OR_SUPPLY_BINDING_FAILURE	NO_TARGET_OR_STAGING_MUTATION	RELEASE_LOCK_AND_RECORD_FAILURE	MAT-F10	MAT-F10	RERUN_AFTER_CAUSE_FIXED	FUTURE_SEPARATE_EXECUTION_AUTHORIZATION_REQUIRED	NOT_AUTHORIZED	STATE_DEFINITION_DOES_NOT_AUTHORIZE_EXECUTION_BYTE_ACQUISITION_ROOT_CREATION_TARGET_WRITE_POPULATION_PUBLICATION_DEPLOYMENT_OR_ACTIVATION
MAT-F20	920	FAILED_IN_TRANSACTION_STAGING	FAILURE_RECOVERABLE	TX_SCOPED_MUTATION_STARTED_NO_FINAL_GENERATION	PRESERVE_FAILURE_RECEIPT_AND_EXACT_STAGING_FOR_RESUME_OR_QUARANTINE	NO_AUTOMATIC_DELETE_OUTSIDE_EXACT_TRANSACTION_ID	MAT-F20	MAT-F20	RESUME_ONLY_WITH_MATCHING_JOURNAL	FUTURE_SEPARATE_EXECUTION_AUTHORIZATION_REQUIRED	NOT_AUTHORIZED	STATE_DEFINITION_DOES_NOT_AUTHORIZE_EXECUTION_BYTE_ACQUISITION_ROOT_CREATION_TARGET_WRITE_POPULATION_PUBLICATION_DEPLOYMENT_OR_ACTIVATION
MAT-F30	930	FAILED_AFTER_GENERATION_BEFORE_SELECTOR	FAILURE_RECOVERABLE	FINAL_IMMUTABLE_GENERATION_EXISTS_SELECTORS_UNCHANGED	LEAVE_GENERATION_UNSELECTED_AND_REPORT_ORPHAN_GENERATION	VERIFY_RECEIPT_BEFORE_ANY_RESUME	MAT-F30	MAT-F30	RESUME_SELECTOR_PUBLICATION_ONLY	FUTURE_SEPARATE_EXECUTION_AUTHORIZATION_REQUIRED	NOT_AUTHORIZED	STATE_DEFINITION_DOES_NOT_AUTHORIZE_EXECUTION_BYTE_ACQUISITION_ROOT_CREATION_TARGET_WRITE_POPULATION_PUBLICATION_DEPLOYMENT_OR_ACTIVATION
MAT-F40	940	FAILED_DURING_SELECTOR_PUBLICATION	FAILURE_RECOVERABLE	SELECTOR_JOURNAL_EXISTS	DO_NOT_MUTATE_GENERATION_RECONCILE_RELATIVE_SELECTORS_FROM_JOURNAL	CURRENT_ALWAYS_POINTS_TO_COMPLETE_VERIFIED_GENERATION_OR_PREVIOUS_SAFE_TARGET	MAT-F40	MAT-F40	LOCKED_SELECTOR_RECOVERY_ONLY	FUTURE_SEPARATE_EXECUTION_AUTHORIZATION_REQUIRED	NOT_AUTHORIZED	STATE_DEFINITION_DOES_NOT_AUTHORIZE_EXECUTION_BYTE_ACQUISITION_ROOT_CREATION_TARGET_WRITE_POPULATION_PUBLICATION_DEPLOYMENT_OR_ACTIVATION
