ordinal	field	layer	required	allowed_values	source_seed	decision_rule
19	candidate_source_upstream_or_app_local	BOTH	YES	UNASSESSED|NO_KNOWN_CANDIDATE|CANDIDATE_IDENTIFIED|ARTIFACT_IDENTIFIED|BYTE_IDENTITY_PROVEN|BEHAVIOR_PROVEN|REQUIRES_DISCRIMINATOR|REJECTED_WITH_REASON plus evidence	AppDir/upstream evidence	Preserve app-local topology where valid
20	candidate_source_project_build	BOTH	YES	UNASSESSED|NO_KNOWN_CANDIDATE|CANDIDATE_IDENTIFIED|ARTIFACT_IDENTIFIED|BYTE_IDENTITY_PROVEN|BEHAVIOR_PROVEN|REQUIRES_DISCRIMINATOR|REJECTED_WITH_REASON plus evidence	project build receipts	Do not assume project ownership without maintenance rationale
21	candidate_source_native_termux_or_android	BOTH	YES	UNASSESSED|NO_KNOWN_CANDIDATE|CANDIDATE_IDENTIFIED|ARTIFACT_IDENTIFIED|BYTE_IDENTITY_PROVEN|BEHAVIOR_PROVEN|REQUIRES_DISCRIMINATOR|REJECTED_WITH_REASON plus evidence	native host/provider evidence	Cross-world use must remain ABI-safe and explicit
22	termux_android_adaptation_required	BOTH	YES	YES|NO|POSSIBLE|UNKNOWN plus rationale	N2 package/source comparison	Decide from behavior/patch relevance, not source label
23	abi_version_coupling	BOTH	YES	free text with evidence state	B1/B2/B7/N2	Record substrate, provider-family, data, plugin, or application coupling
24	profile_runtime_or_research	BOTH	YES	RUNTIME|RESEARCH_BUILD_MAINTENANCE|BOTH_WITH_SEPARATE_ARTIFACTS|NEITHER|UNRESOLVED	0115/0117	Availability alone cannot place an item in runtime
25	update_owner	BOTH	YES	WORLD_SUBSTRATE|PROVIDER|APPLICATION|TOOLCHAIN|ORACLE_SCENARIO|MUTABLE_STATE|UNRESOLVED	0116/0117	Use the lifecycle domain that can change independently
26	revalidation_trigger	BOTH	YES	free text	0116/0117 plus dependency evidence	Name exact identities or contracts whose change requires gates
27	provisional_final_authority	BOTH	YES	free text or UNRESOLVED	NEW AUTHORITY JUDGMENT	Must name authority and exact supply direction, not only a path
28	unresolved_discriminating_evidence	BOTH	YES	free text or NONE	NEW	Ask one or more questions that can change the decision
29	evidence_state	BOTH	YES	OBSERVED|DERIVED|INFERRED|PROVISIONAL|CONFLICTED|MISSING	ALL	Match strength of claim to evidence
30	evidence_refs	BOTH	YES	semicolon-separated receipt/document/file references	ALL	References must identify exact accepted evidence
31	evidence_claim_scope	BOTH	YES	free text	ALL	State workload, process class, ABI world, version, and observation boundary
32	evidence_conflict	BOTH	YES	NONE or explicit conflict	ALL	Do not silently overwrite conflicting historical/current interpretations
33	authority_decision_state	BOTH	YES	OPEN|PROVISIONAL|ACCEPTED_FOR_INTERVENTION_REVIEW|REJECTED|BLOCKED	NEW	Only explicit audit can lift intervention status
34	notes	BOTH	NO	free text	NEW	Non-authoritative explanation only
